"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEETURL";"DCR";"FREQUENCY";"IDC";"IMAX";"L";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MKTG_PACKAGE";"NSID";"PACKAGE";"VENDOR";
"2";"0.1u";"CAP0603-CAP";"0603-CAP";"CBST, CLFB";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"100k";"RESISTOR0603";"0603-RES";"RENB, RENPU, RPG";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"100u,10V";"CAP1210";"1210";"COUT1, COUT2, COUT3, COUT4";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10k";"RESISTOR0603";"0603-RES";"RFBB";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"196k";"RESISTOR0603";"0603-RES";"RTRIP";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1n";"CAP0603-CAP";"0603-CAP";"CLRFB";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1u";"CAP0603-CAP";"0603-CAP";"CVREG";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"22u,16V";"CAP1210";"1210";"CIN1, CIN2, CIN3, CIN4";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"330k";"RESISTOR0603";"0603-RES";"RENT";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7u,16V";"CAP1206";"1206";"CVIN";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"470k";"RESISTOR0603";"0603-RES";"RMODEG";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"510nH";"FP1107R1-R51-R";"FP1107";"L1";"";"";"2.9E-4";"";"18.0";"";"0.0";"Coiltronics";"FP1107R1-R51-R";"";"";"";"Coiltronics";
"1";"549";"RESISTOR0603";"0603-RES";"RLBST";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"69.8k";"RESISTOR0603";"0603-RES";"RFBT";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BSS84PW";"BSS84PW";"SOT323";"Q1";"P-Channel FET";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"M01";"M01";"PIN_16AWG";"U$1, U$2, U$3, U$4";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"M01PTH";"M01PTH";"1X01";"!EN, PG, SENSE";"Header 1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPS53319DQPR";"TPS53319DQPR";"DQP0022A";"U1";"";"http://www.ti.com/product/tps53318";"";"500000.0";"";"8.0";"";"Texas Instruments";"TPS53318DQPR";"DQP0022A";"TPS53318DQPR";"DQP0022A";"Texas Instruments";
